algo,supercomputer,supercomputer-12
Linear,0.9190000000000005,4.4249999999999545
ElasticNet,9.170000000000002,1.9429999999999836
RandomForest,37.503,25.846000000000004
GradientBoosting,608.106,57.00300000000004
